doi,is_referenced_by_count
10.6084/m9.figshare.13198100.v1,2
10.6084/m9.figshare.12918197.v2,1
10.6084/m9.figshare.12756251.v1,1
10.6084/m9.figshare.11310620.v1,2
10.6084/m9.figshare.11301776.v1,1
10.6084/m9.figshare.10025330.v2,1
10.6084/m9.figshare.9926492.v1,2
10.6084/m9.figshare.9896429.v1,1
10.23645/epacomptox.9104819.v1,1
10.6084/m9.figshare.8944826.v1,1
10.23645/epacomptox.7844555.v1,1
10.6084/m9.figshare.7591775.v1,1
10.6084/m9.figshare.7429094.v1,1
10.6084/m9.figshare.7390559.v1,2
10.6084/m9.figshare.7334501.v1,1
10.6084/m9.figshare.7358471.v1,1
10.6084/m9.figshare.7294019.v1,1
10.6084/m9.figshare.7277126.v1,1
10.6084/m9.figshare.7252583.v1,1
10.23645/epacomptox.7080740.v1,1
10.6084/m9.figshare.6855020.v1,2
10.6084/m9.figshare.6753320.v1,1
10.6084/m9.figshare.3101203.v2,2
10.6084/m9.figshare.4675765.v2,3
10.23645/epacomptox.5176606.v1,1
10.6084/m9.figshare.5890432.v2,2
10.6084/m9.figshare.5660128.v1,1
10.6084/m9.figshare.5621125.v1,1
10.17862/cranfield.rd.5585398.v1,1
10.17862/cranfield.rd.5533033.v2,1
10.6084/m9.figshare.5428498.v1,2
10.6084/m9.figshare.5393329.v1,1
10.6084/m9.figshare.5325619.v1,1
10.6084/m9.figshare.5307391.v1,1
10.6084/m9.figshare.5278195.v1,1
10.6084/m9.figshare.5259919.v1,2
10.6084/m9.figshare.5178937.v2,1
10.6084/m9.figshare.5119855.v2,6
10.6084/m9.figshare.5142280.v1,2
10.6084/m9.figshare.4990889.v1,1
10.6084/m9.figshare.4611670.v1,1
10.6084/m9.figshare.4822942.v2,1
10.6084/m9.figshare.4688911.v1,1
10.6084/m9.figshare.4688566.v1,1
10.6084/m9.figshare.4573057.v1,1
10.6084/m9.figshare.4573048.v1,1
10.6084/m9.figshare.4244408.v1,1
10.6084/m9.figshare.3988857.v1,1
10.6084/m9.figshare.3969375.v4,1
10.6084/m9.figshare.3822138.v1,1
10.6084/m9.figshare.3792054.v1,1
10.6084/m9.figshare.3467909.v1,1
10.6084/m9.figshare.3219238.v1,1
10.6084/m9.figshare.3175198.v1,4
10.6084/m9.figshare.3175168.v1,1
10.6084/m9.figshare.3112558.v1,1
10.6084/m9.figshare.2812843.v1,1
10.6084/m9.figshare.1611087.v1,1
10.6084/m9.figshare.1608304.v1,1
10.6084/m9.figshare.1566701.v1,1
10.6084/m9.figshare.1558319.v1,1
10.6084/m9.figshare.1549764.v1,1
10.6084/m9.figshare.1515021.v1,1
10.6084/m9.figshare.1506807.v1,1
10.6084/m9.figshare.1462655.v1,1
10.6084/m9.figshare.1439723.v1,1
10.6084/m9.figshare.1428662.v1,1
10.6084/m9.figshare.1284669.v1,1
10.6084/m9.figshare.1294945.v1,1
10.6084/m9.figshare.1287474.v3,1
10.6084/m9.figshare.1286826.v1,5
10.6084/m9.figshare.1272056.v1,1
10.6084/m9.figshare.1269288.v1,2
10.6084/m9.figshare.1230096.v1,1
10.6084/m9.figshare.1254958.v2,8
10.6084/m9.figshare.1234063.v2,1
10.6084/m9.figshare.1136126.v7,2
10.6084/m9.figshare.1209339.v1,1
10.6084/m9.figshare.1190601.v1,1
10.6084/m9.figshare.1134544.v1,1
10.6084/m9.figshare.1100493.v3,1
10.6084/m9.figshare.1063282.v2,1
10.6084/m9.figshare.1036551.v1,1
10.6084/m9.figshare.1014334.v1,1
10.6084/m9.figshare.963153.v1,9
10.6084/m9.figshare.951915.v1,2
10.6084/m9.figshare.939458.v1,1
10.6084/m9.figshare.895626.v1,1
10.6084/m9.figshare.907482.v2,1
10.6084/m9.figshare.892403.v2,1
10.6084/m9.figshare.866771.v1,1
10.6084/m9.figshare.841759.v1,1
10.6084/m9.figshare.831475.v1,1
10.6084/m9.figshare.816875.v1,2
10.6084/m9.figshare.796397.v4,2
10.6084/m9.figshare.786540.v1,1
10.6084/m9.figshare.710918.v3,2
10.6084/m9.figshare.771963.v1,2
10.6084/m9.figshare.766364.v1,10
10.6084/m9.figshare.726152.v2,1
10.6084/m9.figshare.695010.v1,1
10.6084/m9.figshare.106458.v1,2
10.6084/m9.figshare.92620.v1,1
