doi,is_referenced_by_count,source,citation_source,date
10.1145/3307772.3330154,5,Zenodo,Crossref,2019
10.1145/3297280.3297570,1,Zenodo,Crossref,2020
10.1089/dia.2020.2525.abstracts,8,Zenodo,Crossref,2020
10.1145/3319535.3363257,3,Zenodo,Crossref,2020
10.1145/3211890.3211916,3,Zenodo,Crossref,2018
10.1093/geroni/igx004.874,1,Zenodo,Crossref,2017
10.1093/mnras/stx666,91,Zenodo,Crossref,2017
10.19070/2377-8075-1600064,2,Zenodo,Crossref,2017
10.1007/s10456-013-9412-3,1,Zenodo,Crossref,2017
10.1016/j.toxlet.2016.06.1481,1,Zenodo,Crossref,2016
10.5281/zenodo.4114302,2,Zenodo,DataCite,2020
10.5281/zenodo.4053153,1,Zenodo,DataCite,2020
10.5281/zenodo.4034898,1,Zenodo,DataCite,2020
10.5281/zenodo.3932081,1,Zenodo,DataCite,2020
10.5281/zenodo.3893591,2,Zenodo,DataCite,2020
10.5281/zenodo.3873385,2,Zenodo,DataCite,2020
10.5281/zenodo.3784959,4,Zenodo,DataCite,2020
10.5281/zenodo.3774398,2,Zenodo,DataCite,2020
10.5281/zenodo.3263970,1,Zenodo,DataCite,2020
10.5281/zenodo.3733498,2,Zenodo,DataCite,2020
10.5281/zenodo.3697520,1,Zenodo,DataCite,2020
10.5281/zenodo.3666260,1,Zenodo,DataCite,2020
10.5281/zenodo.3666264,3,Zenodo,DataCite,2020
10.5281/zenodo.3629191,2,Zenodo,DataCite,2020
10.5281/zenodo.3642306,1,Zenodo,DataCite,2020
10.5281/zenodo.3444983,2,Zenodo,DataCite,2019
10.5281/zenodo.3370705,1,Zenodo,DataCite,2019
10.5281/zenodo.3243934,1,Zenodo,DataCite,2019
10.5281/zenodo.2654512,1,Zenodo,DataCite,2019
10.5281/zenodo.2657652,2,Zenodo,DataCite,2019
10.5281/zenodo.2616477,1,Zenodo,DataCite,2019
10.5281/zenodo.2609118,2,Zenodo,DataCite,2019
10.5281/zenodo.2609112,2,Zenodo,DataCite,2019
10.5281/zenodo.2608942,2,Zenodo,DataCite,2019
10.5281/zenodo.2608930,2,Zenodo,DataCite,2019
10.5281/zenodo.2604324,1,Zenodo,DataCite,2019
10.5281/zenodo.2585759,3,Zenodo,DataCite,2019
10.5281/zenodo.2553256,1,Zenodo,DataCite,2019
10.5281/zenodo.2531572,1,Zenodo,DataCite,2019
10.5281/zenodo.2538983,2,Zenodo,DataCite,2019
10.5281/zenodo.1745374,1,Zenodo,DataCite,2018
10.5281/zenodo.1690664,3,Zenodo,DataCite,2018
10.5281/zenodo.1488237,1,Zenodo,DataCite,2018
10.5281/zenodo.1453281,3,Zenodo,DataCite,2018
10.17613/M6NZ0P,2,Zenodo,DataCite,2018
10.5281/zenodo.1411251,1,Zenodo,DataCite,2018
10.5281/zenodo.1326237,2,Zenodo,DataCite,2018
10.5281/zenodo.1326235,1,Zenodo,DataCite,2018
10.5281/zenodo.1318420,1,Zenodo,DataCite,2018
10.7490/f1000research.1115721.1,2,Zenodo,DataCite,2018
10.5281/zenodo.1302929,1,Zenodo,DataCite,2018
10.5281/zenodo.1300944,1,Zenodo,DataCite,2018
10.5281/zenodo.1300938,1,Zenodo,DataCite,2018
10.5281/zenodo.1300717,1,Zenodo,DataCite,2018
10.5281/zenodo.1292418,2,Zenodo,DataCite,2018
10.5281/zenodo.1288376,2,Zenodo,DataCite,2018
10.5281/zenodo.1286310,2,Zenodo,DataCite,2018
10.5281/zenodo.1256600,1,Zenodo,DataCite,2018
10.5281/zenodo.1256596,2,Zenodo,DataCite,2018
10.5281/zenodo.1246553,1,Zenodo,DataCite,2018
10.5281/zenodo.1210266,1,Zenodo,DataCite,2018
10.5281/zenodo.1201329,1,Zenodo,DataCite,2018
10.5281/zenodo.1183321,2,Zenodo,DataCite,2018
10.5281/zenodo.1175857,2,Zenodo,DataCite,2018
10.5281/zenodo.1095077,1,Zenodo,DataCite,2017
10.5281/zenodo.1064813,2,Zenodo,DataCite,2017
10.5281/zenodo.1040164,1,Zenodo,DataCite,2017
10.5281/zenodo.1039377,1,Zenodo,DataCite,2017
10.5281/zenodo.1037574,1,Zenodo,DataCite,2017
10.5281/zenodo.1035847,1,Zenodo,DataCite,2017
10.5281/zenodo.1035138,4,Zenodo,DataCite,2017
10.5281/zenodo.1010165,6,Zenodo,DataCite,2017
10.5281/zenodo.844135,1,Zenodo,DataCite,2017
10.5281/zenodo.830290,1,Zenodo,DataCite,2017
10.7490/f1000research.1114375.1,5,Zenodo,DataCite,2017
10.13140/RG.2.2.17192.16649,2,Zenodo,DataCite,2017
10.5281/zenodo.814272,1,Zenodo,DataCite,2017
10.5281/zenodo.807106,1,Zenodo,DataCite,2017
10.5281/zenodo.805988,1,Zenodo,DataCite,2017
10.5281/zenodo.571067,1,Zenodo,DataCite,2017
10.5281/zenodo.569853,1,Zenodo,DataCite,2017
10.5281/zenodo.569646,2,Zenodo,DataCite,2017
10.5281/zenodo.495582,3,Zenodo,DataCite,2017
10.5281/zenodo.439955,1,Zenodo,DataCite,2017
10.5281/zenodo.159973,1,Zenodo,DataCite,2016
10.5281/zenodo.59005,1,Zenodo,DataCite,2016
10.5281/zenodo.35455,1,Zenodo,DataCite,2016
10.5281/zenodo.44807,1,Zenodo,DataCite,2016
10.5281/zenodo.10658,3,Zenodo,DataCite,2016
10.6084/m9.figshare.12824315,1,Figshare,DataCite,2020
10.6084/m9.figshare.11277764.v1,1,Figshare,DataCite,2019
10.6084/m9.figshare.13198100.v1,2,Figshare,Dimensions,2020
10.6084/m9.figshare.12918197.v2,1,Figshare,Dimensions,2020
10.6084/m9.figshare.12756251.v1,1,Figshare,Dimensions,2020
10.6084/m9.figshare.11310620.v1,2,Figshare,Dimensions,2019
10.6084/m9.figshare.11301776.v1,1,Figshare,Dimensions,2019
10.6084/m9.figshare.10025330.v2,1,Figshare,Dimensions,2019
10.6084/m9.figshare.9926492.v1,2,Figshare,Dimensions,2019
10.6084/m9.figshare.9896429.v1,1,Figshare,Dimensions,2019
10.23645/epacomptox.9104819.v1,1,Figshare,Dimensions,2019
10.6084/m9.figshare.8944826.v1,1,Figshare,Dimensions,2019
10.23645/epacomptox.7844555.v1,1,Figshare,Dimensions,2019
10.6084/m9.figshare.7591775.v1,1,Figshare,Dimensions,2019
10.6084/m9.figshare.7429094.v1,1,Figshare,Dimensions,2018
10.6084/m9.figshare.7390559.v1,2,Figshare,Dimensions,2018
10.6084/m9.figshare.7334501.v1,1,Figshare,Dimensions,2018
10.6084/m9.figshare.7358471.v1,1,Figshare,Dimensions,2018
10.6084/m9.figshare.7294019.v1,1,Figshare,Dimensions,2018
10.6084/m9.figshare.7277126.v1,1,Figshare,Dimensions,2018
10.6084/m9.figshare.7252583.v1,1,Figshare,Dimensions,2018
10.23645/epacomptox.7080740.v1,1,Figshare,Dimensions,2018
10.6084/m9.figshare.6855020.v1,2,Figshare,Dimensions,2018
10.6084/m9.figshare.6753320.v1,1,Figshare,Dimensions,2018
10.6084/m9.figshare.3101203.v2,2,Figshare,Dimensions,2016
10.6084/m9.figshare.4675765.v2,3,Figshare,Dimensions,2018
10.23645/epacomptox.5176606.v1,1,Figshare,Dimensions,2018
10.6084/m9.figshare.5890432.v2,2,Figshare,Dimensions,2018
10.6084/m9.figshare.5660128.v1,1,Figshare,Dimensions,2017
10.6084/m9.figshare.5621125.v1,1,Figshare,Dimensions,2017
10.17862/cranfield.rd.5585398.v1,1,Figshare,Dimensions,2017
10.17862/cranfield.rd.5533033.v2,1,Figshare,Dimensions,2017
10.6084/m9.figshare.5428498.v1,2,Figshare,Dimensions,2017
10.6084/m9.figshare.5393329.v1,1,Figshare,Dimensions,2017
10.6084/m9.figshare.5325619.v1,1,Figshare,Dimensions,2017
10.6084/m9.figshare.5307391.v1,1,Figshare,Dimensions,2017
10.6084/m9.figshare.5278195.v1,1,Figshare,Dimensions,2017
10.6084/m9.figshare.5259919.v1,2,Figshare,Dimensions,2017
10.6084/m9.figshare.5178937.v2,1,Figshare,Dimensions,2017
10.6084/m9.figshare.5119855.v2,6,Figshare,Dimensions,2017
10.6084/m9.figshare.5142280.v1,2,Figshare,Dimensions,2017
10.6084/m9.figshare.4990889.v1,1,Figshare,Dimensions,2017
10.6084/m9.figshare.4611670.v1,1,Figshare,Dimensions,2017
10.6084/m9.figshare.4822942.v2,1,Figshare,Dimensions,2017
10.6084/m9.figshare.4688911.v1,1,Figshare,Dimensions,2017
10.6084/m9.figshare.4688566.v1,1,Figshare,Dimensions,2017
10.6084/m9.figshare.4573057.v1,1,Figshare,Dimensions,2017
10.6084/m9.figshare.4573048.v1,1,Figshare,Dimensions,2017
10.6084/m9.figshare.4244408.v1,1,Figshare,Dimensions,2016
10.6084/m9.figshare.3988857.v1,1,Figshare,Dimensions,2016
10.6084/m9.figshare.3969375.v4,1,Figshare,Dimensions,2016
10.6084/m9.figshare.3822138.v1,1,Figshare,Dimensions,2016
10.6084/m9.figshare.3792054.v1,1,Figshare,Dimensions,2016
10.6084/m9.figshare.3467909.v1,1,Figshare,Dimensions,2016
10.6084/m9.figshare.3219238.v1,1,Figshare,Dimensions,2016
10.6084/m9.figshare.3175198.v1,4,Figshare,Dimensions,2016
10.6084/m9.figshare.3175168.v1,1,Figshare,Dimensions,2016
10.6084/m9.figshare.3112558.v1,1,Figshare,Dimensions,2016
10.6084/m9.figshare.2812843.v1,1,Figshare,Dimensions,2016
