doi,is_referenced_by_count
10.1164/ajrccm-conference.2020.201.1_meetingabstracts.a4025,2
10.3847/1538-4357/abd5be,2
10.1093/mnras/stz2346,12
10.3847/1538-4357/abbd96,2
10.1093/mnras/stab033,2
10.12681/osj.22598,1
10.1093/mnras/stab276,2
10.1051/0004-6361/202038181,1
10.1051/0004-6361/202038295,22
10.1051/0004-6361/201937194,7
10.1145/3310273.3323421,3
10.1364/ofc.2020.th2a.2,1
10.1145/3297280.3297570,1
10.1089/dia.2020.2525.abstracts,8
10.1145/3319535.3363257,3
10.3233/jpd-199900,2
10.1145/3307772.3330154,5
10.1145/3211890.3211916,3
10.1093/geroni/igx004.874,1
10.1093/mnras/stx666,91
10.3847/0004-637x/832/1/29,10
10.19070/2377-8075-1600064,2
10.1007/s10456-013-9412-3,1
10.1016/j.toxlet.2016.06.1481,1
10.1109/infcomw.2013.6970754,4
