doi,is_referenced_by_count
10.5281/zenodo.3932081,1
10.5281/zenodo.3893591,2
10.5281/zenodo.3873385,2
10.5281/zenodo.3784959,4
10.5281/zenodo.3774398,2
10.5281/zenodo.3263970,1
10.5281/zenodo.3733498,2
10.5281/zenodo.3697520,1
10.5281/zenodo.3666264,3
10.5281/zenodo.3629191,2
10.5281/zenodo.3642306,1
10.5281/zenodo.3444983,2
10.1145/3307772.3330154,1
10.5281/zenodo.2654512,1
10.5281/zenodo.2657652,2
10.5281/zenodo.2616477,1
10.5281/zenodo.2609118,2
10.5281/zenodo.2609112,2
10.5281/zenodo.2608942,2
10.5281/zenodo.2608930,2
10.5281/zenodo.2604324,1
10.5281/zenodo.2585759,3
10.5281/zenodo.2553256,1
10.5281/zenodo.2531572,1
10.5281/zenodo.2538983,2
10.5281/zenodo.1745374,1
10.5281/zenodo.1690664,3
10.5281/zenodo.1488237,1
10.5281/zenodo.1453281,3
10.17613/M6NZ0P,2
10.5281/zenodo.1411251,1
10.5281/zenodo.1326237,2
10.5281/zenodo.1326235,1
10.5281/zenodo.1318420,1
10.7490/f1000research.1115721.1,2
10.5281/zenodo.1302929,1
10.5281/zenodo.1300944,1
10.5281/zenodo.1300938,1
10.5281/zenodo.1300717,1
10.5281/zenodo.1292418,2
10.5281/zenodo.1288376,2
10.5281/zenodo.1286310,2
10.5281/zenodo.1256600,1
10.5281/zenodo.1256596,2
10.5281/zenodo.1246553,1
10.5281/zenodo.1210266,1
10.5281/zenodo.1201329,1
10.5281/zenodo.1183321,2
10.5281/zenodo.1175857,2
10.5281/zenodo.1095077,1
10.5281/zenodo.1064813,2
10.5281/zenodo.1040164,1
10.5281/zenodo.1039377,1
10.5281/zenodo.1037574,1
10.5281/zenodo.1035847,1
10.5281/zenodo.1035138,4
10.5281/zenodo.1010165,6
10.5281/zenodo.844135,1
10.5281/zenodo.830290,1
10.7490/f1000research.1114375.1,5
10.13140/RG.2.2.17192.16649,2
10.5281/zenodo.805988,1
10.5281/zenodo.571067,1
10.5281/zenodo.569853,1
10.5281/zenodo.569646,2
10.5281/zenodo.495582,3
10.5281/zenodo.439955,1
10.5281/zenodo.59005,1
10.5281/zenodo.35455,1
10.5281/zenodo.44807,1
10.5281/zenodo.10658,3
10.5281/zenodo.30781,1
10.5281/zenodo.30537,1
10.5281/zenodo.30554,2
10.5281/zenodo.30106,1
10.5281/zenodo.22305,1
10.5281/zenodo.11610,1
10.5281/zenodo.10391,1
10.5281/zenodo.7111,2
10.5281/zenodo.11928,1
10.5281/zenodo.13967,2
10.5281/zenodo.11641,1
10.5281/zenodo.12328,1
10.5281/zenodo.11608,1
10.5281/zenodo.10194,1
10.5281/zenodo.7584,1
