doi,is_referenced_by_count
10.1164/ajrccm-conference.2020.201.1_MeetingAbstracts.A4025,2
10.3847/1538-4357/abd5be,2
10.1093/mnras/stz2346,12
10.3847/1538-4357/abbd96,2
10.1093/mnras/stab033,2
10.12681/osj.22598,1
10.1093/mnras/stab276,2
10.1051/0004-6361/202038181,1
10.1051/0004-6361/202038295,22
10.1051/0004-6361/201937194,7
10.1145/3310273.3323421,4
10.1007/978-3-030-00794-2_42,1
10.1007/978-3-030-50729-9_13,1
10.1007/978-3-030-50729-9_9,1
10.1364/OFC.2020.Th2A.2,2
10.1145/3297280.3297570,1
10.1089/dia.2020.2525.abstracts,11
10.1145/3319535.3363257,2
10.1117/12.2324946,1
10.3233/JPD-199900,4
10.1145/3307772.3330154,8
10.1145/3211890.3211916,3
10.1016/j.raa.2016.12.001,1
10.1093/geroni/igx004.874,1
10.1093/mnras/stx666,91
10.3847/0004-637X/832/1/29,10
10.19070/2377-8075-1600064,7
10.1007/s10456-013-9412-3,1
10.1016/j.toxlet.2016.06.1481,1
10.1109/INFCOMW.2013.6970754,5
