doi,resource_type,created
10.5281/zenodo.5562118,poster,2021-10-11T12:50:56.413592+00:00
10.5281/zenodo.5561997,poster,2021-10-11T12:28:42.011090+00:00
10.5281/zenodo.5561765,poster,2021-10-11T11:36:30.620452+00:00
10.5281/zenodo.5561767,poster,2021-10-11T11:33:11.963846+00:00
10.5281/zenodo.5561421,poster,2021-10-11T11:07:26.699384+00:00
10.5281/zenodo.5561404,poster,2021-10-11T11:02:39.291310+00:00
10.5281/zenodo.5561371,poster,2021-10-11T10:56:43.733177+00:00
10.5281/zenodo.5561138,poster,2021-10-11T09:59:24.435283+00:00
10.5281/zenodo.5561050,poster,2021-10-11T09:31:08.708572+00:00
10.5281/zenodo.5561015,poster,2021-10-11T09:27:38.283185+00:00
10.5281/zenodo.5559886,poster,2021-10-11T08:49:43.191431+00:00
10.5281/zenodo.5560822,poster,2021-10-11T08:09:44.174481+00:00
10.5281/zenodo.5560841,poster,2021-10-11T07:42:22.925426+00:00
10.5281/zenodo.5560251,poster,2021-10-11T04:52:04.263535+00:00
10.5281/zenodo.5560219,poster,2021-10-11T04:42:02.269857+00:00
10.5281/zenodo.5560090,poster,2021-10-11T00:16:12.306552+00:00
10.5281/zenodo.5559862,poster,2021-10-10T22:14:23.498750+00:00
10.5281/zenodo.5559831,poster,2021-10-10T21:03:35.104319+00:00
10.5281/zenodo.5559827,poster,2021-10-10T20:56:38.596148+00:00
10.5281/zenodo.5559296,poster,2021-10-10T06:53:49.042329+00:00
10.5281/zenodo.5558887,poster,2021-10-09T16:56:58.494987+00:00
10.5281/zenodo.5558478,poster,2021-10-09T14:26:32.599033+00:00
10.5281/zenodo.5558089,poster,2021-10-09T02:29:11.899576+00:00
10.5281/zenodo.5558036,poster,2021-10-08T23:35:40.117029+00:00
10.5281/zenodo.5557904,poster,2021-10-08T20:43:18.794213+00:00
10.5281/zenodo.5557585,poster,2021-10-08T17:15:52.254027+00:00
10.5281/zenodo.5557277,poster,2021-10-08T15:35:21.422736+00:00
10.5281/zenodo.5557081,poster,2021-10-08T14:31:48.982069+00:00
10.5281/zenodo.5557059,poster,2021-10-08T13:42:24.421276+00:00
10.5281/zenodo.5556519,poster,2021-10-08T11:35:43.737673+00:00
